"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","282522"
"arise from COVID-19",222, 0.00359
"develop coronavirus",221, 0.00357
"be that COVID-19",221, 0.00357
"defeat COVID-19",218, 0.00353
"monitor COVID-19",217, 0.00351
"stop COVID-19",216, 0.00349
"manage the coronavirus",216, 0.00349
"impact by coronavirus",215, 0.00348
"say . COVID-19",213, 0.00344
"receive COVID-19",211, 0.00341
"take the coronavirus",209, 0.00338
"suspect COVID-19",209, 0.00338
"discuss COVID-19",208, 0.00336
"do COVID-19",206, 0.00333
"beat coronavirus",206, 0.00333
"have [number] coronavirus",205, 0.00332
"confirm [number] COVID-19",205, 0.00332
"treat the coronavirus",204, 0.00330
"link to coronavirus",203, 0.00328
"know as COVID-19",202, 0.00327
"take the COVID-19",201, 0.00325
"include the COVID-19",200, 0.00323
"have a coronavirus",200, 0.00323
"contract the COVID-19",200, 0.00323
"comply with COVID-19",199, 0.00322
"use coronavirus",198, 0.00320
"face the COVID-19",198, 0.00320
"believe the coronavirus",198, 0.00320
"take coronavirus",196, 0.00317
"suffer from coronavirus",196, 0.00317
"include coronavirus",196, 0.00317
"give COVID-19",195, 0.00315
"control the COVID-19",194, 0.00314
"care for COVID-19",193, 0.00312
"violate COVID-19",191, 0.00309
"show coronavirus",191, 0.00309
"bring COVID-19",191, 0.00309
"be no COVID-19",191, 0.00309
"be before COVID-19",189, 0.00306
"show that COVID-19",186, 0.00301
"have have coronavirus",186, 0.00301
"cover COVID-19",186, 0.00301
"test coronavirus",185, 0.00299
"discuss the coronavirus",185, 0.00299
"avoid COVID-19",185, 0.00299
"help COVID-19",184, 0.00298
"keep coronavirus",181, 0.00293
"detect coronavirus",181, 0.00293
"note that COVID-19",179, 0.00289
"lift COVID-19",179, 0.00289
"concern about COVID-19",178, 0.00288
"owe to COVID-19",177, 0.00286
"live with COVID-19",177, 0.00286
"think COVID-19",175, 0.00283
"see coronavirus",175, 0.00283
"know about COVID-19",173, 0.00280
"die with COVID-19",173, 0.00280
"bring the coronavirus",173, 0.00280
"know that COVID-19",171, 0.00277
"call the coronavirus",171, 0.00277
"believe COVID-19",171, 0.00277
"overcome COVID-19",169, 0.00273
"designate COVID-19",169, 0.00273
"adhere to COVID-19",169, 0.00273
"undergo coronavirus",168, 0.00272
"expand COVID-19",168, 0.00272
"flatten the COVID-19",166, 0.00268
"stop the coronavirus",165, 0.00267
"know coronavirus",165, 0.00267
"grow coronavirus",165, 0.00267
"track coronavirus",164, 0.00265
"monitor the COVID-19",163, 0.00264
"face the coronavirus",163, 0.00264
"be no coronavirus",162, 0.00262
"say that coronavirus",161, 0.00260
"believe that COVID-19",161, 0.00260
"emerge from COVID-19",160, 0.00259
"conduct coronavirus",160, 0.00259
"mitigate COVID-19",159, 0.00257
"infect by coronavirus",159, 0.00257
"develop a coronavirus",159, 0.00257
"break coronavirus",159, 0.00257
"think the coronavirus",158, 0.00256
"lose to COVID-19",158, 0.00256
"curb coronavirus",158, 0.00256
"overcome the coronavirus",155, 0.00251
"cite coronavirus",154, 0.00249
"offer free COVID-19",152, 0.00246
"reduce coronavirus",151, 0.00244
"kill the coronavirus",151, 0.00244
"kill coronavirus",151, 0.00244
"take a coronavirus",150, 0.00243
"face COVID-19",150, 0.00243
"concern COVID-19",150, 0.00243
"identify COVID-19",149, 0.00241
"spread of COVID-19",147, 0.00238
"relax coronavirus",147, 0.00238
"suggest that COVID-19",145, 0.00234
"ease the coronavirus",145, 0.00234
"control coronavirus",144, 0.00233
"transmit the coronavirus",143, 0.00231
"see the coronavirus",143, 0.00231
"protect against coronavirus",143, 0.00231
"expect COVID-19",141, 0.00228
"survive coronavirus",140, 0.00226
"cure coronavirus",140, 0.00226
"overcome the COVID-19",139, 0.00225
"handle coronavirus",139, 0.00225
"surge coronavirus",138, 0.00223
"breach COVID-19",138, 0.00223
"reopen after coronavirus",137, 0.00222
"help fight COVID-19",137, 0.00222
"breach coronavirus",137, 0.00222
"support the COVID-19",136, 0.00220
"do with COVID-19",136, 0.00220
"create a COVID-19",136, 0.00220
"succumb to coronavirus",135, 0.00218
"enforce coronavirus",135, 0.00218
"cause coronavirus",134, 0.00217
"navigate COVID-19",133, 0.00215
"recover coronavirus",132, 0.00213
"cause the COVID-19",132, 0.00213
"make coronavirus",131, 0.00212
"implement COVID-19",131, 0.00212
"respond to coronavirus",130, 0.00210
"adapt to COVID-19",130, 0.00210
"relax COVID-19",129, 0.00209
"enforce COVID-19",129, 0.00209
"rage coronavirus",128, 0.00207
"launch COVID-19",128, 0.00207
"come to coronavirus",128, 0.00207
"pose by coronavirus",127, 0.00205
"grow COVID-19",127, 0.00205
"evolve COVID-19",127, 0.00205
"blame the coronavirus",127, 0.00205
"avoid coronavirus",126, 0.00204
"defeat the coronavirus",125, 0.00202
"worsen coronavirus",123, 0.00199
"suggest COVID-19",123, 0.00199
"release COVID-19",123, 0.00199
"consider COVID-19",123, 0.00199
"transmit coronavirus",122, 0.00197
"suspect coronavirus",122, 0.00197
"slow down coronavirus",122, 0.00197
"reopen after COVID-19",122, 0.00197
"help with COVID-19",122, 0.00197
"grapple with COVID-19",122, 0.00197
"emerge from coronavirus",122, 0.00197
"come the coronavirus",122, 0.00197
"worry about COVID-19",121, 0.00196
"use for COVID-19",121, 0.00196
"receive coronavirus",121, 0.00196
"involve COVID-19",120, 0.00194
"declare the coronavirus",120, 0.00194
"be not COVID-19",120, 0.00194
"stem from COVID-19",119, 0.00192
"navigate the coronavirus",119, 0.00192
"associate with coronavirus",119, 0.00192
"refer to COVID-19",118, 0.00191
"let COVID-19",118, 0.00191
"curb the COVID-19",118, 0.00191
"bring coronavirus",118, 0.00191
"bring by COVID-19",118, 0.00191
"beat the coronavirus",118, 0.00191
"base on COVID-19",118, 0.00191
"update COVID-19",117, 0.00189
"discuss the COVID-19",117, 0.00189
"hospitalize with coronavirus",116, 0.00188
"trigger by COVID-19",115, 0.00186
"provide coronavirus",115, 0.00186
"come COVID-19",114, 0.00184
"spread of coronavirus",112, 0.00181
"work on COVID-19",111, 0.00180
"improve COVID-19",111, 0.00180
"violate coronavirus",110, 0.00178
"slow the coronavirus",110, 0.00178
"offer coronavirus",110, 0.00178
"flatten the coronavirus",110, 0.00178
"discuss coronavirus",110, 0.00178
"call coronavirus",110, 0.00178
"find coronavirus",109, 0.00176
"stop coronavirus",108, 0.00175
"launch a COVID-19",108, 0.00175
"consider the COVID-19",108, 0.00175
"predict COVID-19",107, 0.00173
"exhibit COVID-19",107, 0.00173
"carry the coronavirus",107, 0.00173
"understand COVID-19",106, 0.00171
"stem the coronavirus",106, 0.00171
"pertain to COVID-19",106, 0.00171
"have any COVID-19",106, 0.00171
"cope with coronavirus",106, 0.00171
"ravage COVID-19",105, 0.00170
"meet COVID-19",105, 0.00170
"import COVID-19",105, 0.00170
"remain COVID-19",104, 0.00168
"ease its coronavirus",104, 0.00168
"conduct [number] COVID-19",104, 0.00168
"dedicate to COVID-19",103, 0.00167
"confirm [number] coronavirus",103, 0.00167
"cite the COVID-19",103, 0.00167
"carry COVID-19",103, 0.00167
"register [number] COVID-19",102, 0.00165
"kill COVID-19",102, 0.00165
"confront the coronavirus",102, 0.00165
"tie to COVID-19",101, 0.00163
"counter the coronavirus",101, 0.00163
"acquire COVID-19",101, 0.00163
"impose by COVID-19",100, 0.00162
"hospitalize coronavirus",100, 0.00162
"confirm positive COVID-19",100, 0.00162
"allow COVID-19",100, 0.00162
"admit COVID-19",100, 0.00162
"talk about COVID-19",99, 0.00160
"have test COVID-19",99, 0.00160
"defeat coronavirus",99, 0.00160
"accept COVID-19",99, 0.00160
"exacerbate by COVID-19",98, 0.00158
"undergo a COVID-19",97, 0.00157
"exploit the coronavirus",97, 0.00157
"call the COVID-19",97, 0.00157
"worsen COVID-19",96, 0.00155
"receive a COVID-19",96, 0.00155
"prepare for COVID-19",96, 0.00155
"give coronavirus",96, 0.00155
"eliminate COVID-19",96, 0.00155
"kill by COVID-19",95, 0.00154
"eradicate COVID-19",95, 0.00154
"ensure COVID-19",95, 0.00154
"create COVID-19",95, 0.00154
"come as COVID-19",95, 0.00154
"limit COVID-19",94, 0.00152
"fight against coronavirus",94, 0.00152
"perform COVID-19",93, 0.00150
"observe COVID-19",93, 0.00150
"let the coronavirus",93, 0.00150
"delay by COVID-19",93, 0.00150
"be fight COVID-19",93, 0.00150
"happen with COVID-19",92, 0.00149
"experience coronavirus",92, 0.00149
"describe COVID-19",92, 0.00149
"reopen from coronavirus",91, 0.00147
"help coronavirus",91, 0.00147
"expect the coronavirus",91, 0.00147
"announce COVID-19",91, 0.00147
"add COVID-19",91, 0.00147
"work with COVID-19",90, 0.00146
"make the coronavirus",90, 0.00146
"exploit the COVID-19",90, 0.00146
"confirm with COVID-19",90, 0.00146
"see the COVID-19",89, 0.00144
"live with coronavirus",89, 0.00144
"spike coronavirus",88, 0.00142
"involve in COVID-19",87, 0.00141
"describe the coronavirus",87, 0.00141
"cause the coronavirus",87, 0.00141
"believe the COVID-19",87, 0.00141
"be use COVID-19",87, 0.00141
"owe to coronavirus",86, 0.00139
"suggest the coronavirus",85, 0.00137
"state that COVID-19",85, 0.00137
"involve coronavirus",85, 0.00137
"have no COVID-19",85, 0.00137
"extend COVID-19",85, 0.00137
"disrupt by COVID-19",85, 0.00137
"devastate by COVID-19",85, 0.00137
"blame COVID-19",85, 0.00137
"attribute to coronavirus",85, 0.00137
"ignore coronavirus",84, 0.00136
"get the COVID-19",84, 0.00136
"flout COVID-19",84, 0.00136
"slow COVID-19",83, 0.00134
"learn from COVID-19",83, 0.00134
"import coronavirus",83, 0.00134
"counter COVID-19",83, 0.00134
"become COVID-19",83, 0.00134
"treat for coronavirus",82, 0.00133
"consider the coronavirus",82, 0.00133
"concern the coronavirus",82, 0.00133
"break COVID-19",82, 0.00133
"occasion by COVID-19",81, 0.00131
"include a COVID-19",81, 0.00131
"ensure that COVID-19",81, 0.00131
"be test COVID-19",81, 0.00131
"administer COVID-19",81, 0.00131
"understand how COVID-19",80, 0.00129
"loosen coronavirus",80, 0.00129
"come as coronavirus",80, 0.00129
"be find COVID-19",80, 0.00129
"show the coronavirus",79, 0.00128
"defy coronavirus",79, 0.00128
"warn the coronavirus",78, 0.00126
"monitor the coronavirus",78, 0.00126
"keep the COVID-19",78, 0.00126
"add that COVID-19",78, 0.00126
"produce COVID-19",77, 0.00125
"declare the COVID-19",77, 0.00125
"complete a COVID-19",77, 0.00125
"worry about coronavirus",76, 0.00123
"require COVID-19",76, 0.00123
"reopen as coronavirus",76, 0.00123
"ravage by COVID-19",76, 0.00123
"provide free COVID-19",76, 0.00123
"extend coronavirus",76, 0.00123
"cover coronavirus",76, 0.00123
"comply with coronavirus",76, 0.00123
"surround coronavirus",75, 0.00121
"spread the COVID-19",75, 0.00121
"prevent the COVID-19",75, 0.00121
"launch the COVID-19",75, 0.00121
"drive by COVID-19",75, 0.00121
"contribute to COVID-19",75, 0.00121
"protect from COVID-19",74, 0.00120
"hospitalise COVID-19",74, 0.00120
"face coronavirus",74, 0.00120
"be experience COVID-19",74, 0.00120
"avoid the coronavirus",74, 0.00120
"review the COVID-19",73, 0.00118
"mention COVID-19",73, 0.00118
"indicate that COVID-19",73, 0.00118
"eliminate coronavirus",73, 0.00118
"allow the coronavirus",73, 0.00118
"warn that COVID-19",72, 0.00116
"mitigate the COVID-19",72, 0.00116
"identify coronavirus",72, 0.00116
"have be COVID-19",72, 0.00116
"approve COVID-19",72, 0.00116
"undergo a coronavirus",71, 0.00115
"rage COVID-19",71, 0.00115
"expand coronavirus",71, 0.00115
"detect the coronavirus",71, 0.00115
"confront COVID-19",71, 0.00115
"be battle COVID-19",71, 0.00115
"do the coronavirus",70, 0.00113
"distribute COVID-19",70, 0.00113
"warn coronavirus",69, 0.00112
"violate the COVID-19",69, 0.00112
"shield from coronavirus",69, 0.00112
"mention coronavirus",69, 0.00112
"help fight coronavirus",69, 0.00112
"end the coronavirus",69, 0.00112
"display coronavirus",69, 0.00112
"conduct [number] coronavirus",69, 0.00112
"be treat COVID-19",69, 0.00112
"put COVID-19",68, 0.00110
"loosen COVID-19",68, 0.00110
"look at COVID-19",68, 0.00110
"hospitalise with COVID-19",68, 0.00110
"have see COVID-19",68, 0.00110
"find a COVID-19",68, 0.00110
"confront the COVID-19",68, 0.00110
"accelerate COVID-19",68, 0.00110
"study COVID-19",67, 0.00108
"slow coronavirus",67, 0.00108
"report that COVID-19",67, 0.00108
"record COVID-19",67, 0.00108
"establish a COVID-19",67, 0.00108
"display COVID-19",67, 0.00108
"declare coronavirus",67, 0.00108
"clear of COVID-19",67, 0.00108
"learn about COVID-19",66, 0.00107
"flout coronavirus",66, 0.00107
"struggle with COVID-19",65, 0.00105
"pass COVID-19",65, 0.00105
"overcome coronavirus",65, 0.00105
"deliver COVID-19",65, 0.00105
"connect to COVID-19",65, 0.00105
"assist with COVID-19",65, 0.00105
"lose to coronavirus",64, 0.00104
"hear of COVID-19",64, 0.00104
"ease the COVID-19",64, 0.00104
"develop severe COVID-19",64, 0.00104
"become a COVID-19",64, 0.00104
"unfold of COVID-19",63, 0.00102
"share COVID-19",63, 0.00102
"send coronavirus",63, 0.00102
"observe the COVID-19",63, 0.00102
"mitigate the coronavirus",63, 0.00102
"find that COVID-19",63, 0.00102
"be before coronavirus",63, 0.00102
"update its COVID-19",62, 0.00100
"end COVID-19",62, 0.00100
"diagnose coronavirus",62, 0.00100
"carry coronavirus",62, 0.00100
"become a coronavirus",62, 0.00100
"surge COVID-19",61, 0.00099
"seek COVID-19",61, 0.00099
"ramp up COVID-19",61, 0.00099
"follow a COVID-19",61, 0.00099
"believe coronavirus",61, 0.00099
"think the COVID-19",60, 0.00097
"target COVID-19",60, 0.00097
"review COVID-19",60, 0.00097
"monitor coronavirus",60, 0.00097
"minimize COVID-19",60, 0.00097
"manage coronavirus",60, 0.00097
"lift its coronavirus",60, 0.00097
"lead to COVID-19",60, 0.00097
"focus on coronavirus",60, 0.00097
"wait for COVID-19",59, 0.00095
"track the coronavirus",59, 0.00095
"spike COVID-19",59, 0.00095
"linger coronavirus",59, 0.00095
"cure the coronavirus",59, 0.00095
"counter the COVID-19",59, 0.00095
"blame coronavirus",59, 0.00095
"be on COVID-19",59, 0.00095
"see with COVID-19",58, 0.00094
"list COVID-19",58, 0.00094
"have report COVID-19",58, 0.00094
"enter the coronavirus",58, 0.00094
"end the COVID-19",58, 0.00094
"emerge coronavirus",58, 0.00094
"bring the COVID-19",58, 0.00094
"affect COVID-19",58, 0.00094
"address coronavirus",58, 0.00094
"work on coronavirus",57, 0.00092
"use for coronavirus",57, 0.00092
"understand that COVID-19",57, 0.00092
"trace COVID-19",57, 0.00092
"surpass [number] COVID-19",57, 0.00092
"spend the coronavirus",57, 0.00092
"reserve for COVID-19",57, 0.00092
"ravage coronavirus",57, 0.00092
"pay for COVID-19",57, 0.00092
"find a coronavirus",57, 0.00092
"eradicate the coronavirus",57, 0.00092
"do before COVID-19",57, 0.00092
"depend on COVID-19",57, 0.00092
"concern about coronavirus",57, 0.00092
"claim the coronavirus",57, 0.00092
"care for coronavirus",57, 0.00092
"assess COVID-19",57, 0.00092
"trace coronavirus",56, 0.00091
"title "" COVID-19",56, 0.00091
"talk about coronavirus",56, 0.00091
"reopen amid COVID-19",56, 0.00091
"make the COVID-19",56, 0.00091
"know about coronavirus",56, 0.00091
"help combat COVID-19",56, 0.00091
"fund COVID-19",56, 0.00091
"follow a coronavirus",56, 0.00091
"fear the coronavirus",56, 0.00091
"fear COVID-19",56, 0.00091
"claim COVID-19",56, 0.00091
"carry out COVID-19",56, 0.00091
"admit coronavirus",56, 0.00091
"adjust to COVID-19",56, 0.00091
"remember that COVID-19",55, 0.00089
"overwhelm with COVID-19",55, 0.00089
"induce by COVID-19",55, 0.00089
"increase in COVID-19",55, 0.00089
"have no coronavirus",55, 0.00089
"expect the COVID-19",55, 0.00089
"do with coronavirus",55, 0.00089
"do coronavirus",55, 0.00089
"adhere to coronavirus",55, 0.00089
"accommodate COVID-19",55, 0.00089
"think coronavirus",54, 0.00087
"show that coronavirus",54, 0.00087
"reopen as COVID-19",54, 0.00087
"provide a COVID-19",54, 0.00087
"predict the coronavirus",54, 0.00087
"pass the coronavirus",54, 0.00087
"go into COVID-19",54, 0.00087
"escalate coronavirus",54, 0.00087
"eliminate the coronavirus",54, 0.00087
"declare a COVID-19",54, 0.00087
"concern the COVID-19",54, 0.00087
"compare COVID-19",54, 0.00087
"be for COVID-19",54, 0.00087
"treat the COVID-19",53, 0.00086
"register [number] coronavirus",53, 0.00086
"lead COVID-19",53, 0.00086
"emerge COVID-19",53, 0.00086
"do the COVID-19",53, 0.00086
"discharge [number] COVID-19",53, 0.00086
"create by coronavirus",53, 0.00086
"counter coronavirus",53, 0.00086
"catch the COVID-19",53, 0.00086
"suppress COVID-19",52, 0.00084
"slow down COVID-19",52, 0.00084
"post the COVID-19",52, 0.00084
"need for COVID-19",52, 0.00084
"moderate COVID-19",52, 0.00084
"mention the coronavirus",52, 0.00084
"meet the COVID-19",52, 0.00084
"lift the coronavirus",52, 0.00084
"give that COVID-19",52, 0.00084
"establish COVID-19",52, 0.00084
"continue COVID-19",52, 0.00084
"attend to COVID-19",52, 0.00084
"allow coronavirus",52, 0.00084
"accelerate by COVID-19",52, 0.00084
"warn that coronavirus",51, 0.00082
"see [number] COVID-19",51, 0.00082
"screen for coronavirus",51, 0.00082
"report a COVID-19",51, 0.00082
"predate the coronavirus",51, 0.00082
"limit coronavirus",51, 0.00082
"continue coronavirus",51, 0.00082
"benefit COVID-19",51, 0.00082
"report new COVID-19",50, 0.00081
"react to COVID-19",50, 0.00081
"put the coronavirus",50, 0.00081
"hope the coronavirus",50, 0.00081
"defy COVID-19",50, 0.00081
"be declare COVID-19",50, 0.00081
"support coronavirus",49, 0.00079
"report new coronavirus",49, 0.00079
"reopen from COVID-19",49, 0.00079
"protect from coronavirus",49, 0.00079
"process COVID-19",49, 0.00079
"offer free coronavirus",49, 0.00079
"linger COVID-19",49, 0.00079
"let the COVID-19",49, 0.00079
"lead the COVID-19",49, 0.00079
"know the coronavirus",49, 0.00079
"help prevent COVID-19",49, 0.00079
"have develop COVID-19",49, 0.00079
"enter the COVID-19",49, 0.00079
"document COVID-19",49, 0.00079
"suggest coronavirus",48, 0.00078
"receive a coronavirus",48, 0.00078
"pay for coronavirus",48, 0.00078
"help treat COVID-19",48, 0.00078
"grapple with coronavirus",48, 0.00078
"find the coronavirus",48, 0.00078
"cover the coronavirus",48, 0.00078
"contact COVID-19",48, 0.00078
"conduct a COVID-19",48, 0.00078
"want COVID-19",47, 0.00076
"understand the coronavirus",47, 0.00076
"undergo the COVID-19",47, 0.00076
"surpass [number] coronavirus",47, 0.00076
"set up COVID-19",47, 0.00076
"report positive COVID-19",47, 0.00076
"mandate COVID-19",47, 0.00076
"maintain COVID-19",47, 0.00076
"introduce COVID-19",47, 0.00076
"ignore COVID-19",47, 0.00076
"hurt by COVID-19",47, 0.00076
"have more coronavirus",47, 0.00076
"have more COVID-19",47, 0.00076
"expand its COVID-19",47, 0.00076
"be that coronavirus",47, 0.00076
"avoid spread COVID-19",47, 0.00076
"afflict with COVID-19",47, 0.00076
"treat [number] COVID-19",46, 0.00074
"think that COVID-19",46, 0.00074
"see [number] coronavirus",46, 0.00074
"say [number] COVID-19",46, 0.00074
"prompt by COVID-19",46, 0.00074
"lead coronavirus",46, 0.00074
"interrupt by COVID-19",46, 0.00074
"fight off COVID-19",46, 0.00074
"experience any COVID-19",46, 0.00074
"expect coronavirus",46, 0.00074
"eradicate coronavirus",46, 0.00074
"describe the COVID-19",46, 0.00074
"contain a coronavirus",46, 0.00074
"confirm novel coronavirus",46, 0.00074
"come the COVID-19",46, 0.00074
"claim that COVID-19",46, 0.00074
"claim coronavirus",46, 0.00074
"benefit from COVID-19",46, 0.00074
"become coronavirus",46, 0.00074
"allocate for COVID-19",46, 0.00074
"update coronavirus",45, 0.00073
"reopen amid coronavirus",45, 0.00073
"reel from COVID-19",45, 0.00073
"recognize that COVID-19",45, 0.00073
"propose COVID-19",45, 0.00073
"mean the coronavirus",45, 0.00073
"investigate COVID-19",45, 0.00073
"experience a COVID-19",45, 0.00073
"discharge COVID-19",45, 0.00073
"create the COVID-19",45, 0.00073
"collect COVID-19",45, 0.00073
"be not coronavirus",45, 0.00073
"announce [number] COVID-19",45, 0.00073
"acknowledge that COVID-19",45, 0.00073
"accord to COVID-19",45, 0.00073
"stop the COVID-19",44, 0.00071
"release coronavirus",44, 0.00071
"occupy by COVID-19",44, 0.00071
"have confirm COVID-19",44, 0.00071
"be offer COVID-19",44, 0.00071
"transport COVID-19",43, 0.00070
"struggle with coronavirus",43, 0.00070
"see in COVID-19",43, 0.00070
