"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","297673"
"develop coronavirus",269, 0.00435
"give COVID-19",268, 0.00433
"curb COVID-19",266, 0.00430
"grow coronavirus",265, 0.00429
"cite COVID-19",261, 0.00422
"adhere to COVID-19",261, 0.00422
"take coronavirus",260, 0.00420
"violate COVID-19",259, 0.00419
"call COVID-19",259, 0.00419
"cope with COVID-19",256, 0.00414
"get a coronavirus",254, 0.00411
"curb the coronavirus",254, 0.00411
"take a coronavirus",253, 0.00409
"say . COVID-19",252, 0.00408
"offer COVID-19",252, 0.00408
"weather the coronavirus",251, 0.00406
"keep the coronavirus",250, 0.00404
"find COVID-19",245, 0.00396
"cite the coronavirus",245, 0.00396
"treat the coronavirus",244, 0.00395
"have a coronavirus",244, 0.00395
"manage the coronavirus",243, 0.00393
"prevent the coronavirus",239, 0.00387
"track COVID-19",238, 0.00385
"discuss COVID-19",235, 0.00380
"navigate the COVID-19",229, 0.00370
"include the COVID-19",229, 0.00370
"monitor COVID-19",228, 0.00369
"have [number] coronavirus",228, 0.00369
"defeat COVID-19",228, 0.00369
"be no COVID-19",228, 0.00369
"see coronavirus",227, 0.00367
"battle the COVID-19",227, 0.00367
"receive COVID-19",224, 0.00362
"worsen COVID-19",223, 0.00361
"focus on COVID-19",223, 0.00361
"suspect COVID-19",222, 0.00359
"control the COVID-19",221, 0.00357
"contract the COVID-19",221, 0.00357
"ease coronavirus",219, 0.00354
"think COVID-19",215, 0.00348
"grow COVID-19",215, 0.00348
"know COVID-19",214, 0.00346
"be that COVID-19",211, 0.00341
"weather the COVID-19",210, 0.00340
"tackle coronavirus",208, 0.00336
"include the coronavirus",208, 0.00336
"bring the coronavirus",208, 0.00336
"do COVID-19",207, 0.00335
"owe to COVID-19",206, 0.00333
"have the COVID-19",206, 0.00333
"enforce COVID-19",203, 0.00328
"rage coronavirus",202, 0.00327
"impact by coronavirus",202, 0.00327
"detect coronavirus",202, 0.00327
"note that COVID-19",201, 0.00325
"regard coronavirus",200, 0.00323
"diagnose COVID-19",200, 0.00323
"fight against COVID-19",198, 0.00320
"keep coronavirus",197, 0.00319
"breach COVID-19",197, 0.00319
"believe COVID-19",197, 0.00319
"mitigate COVID-19",196, 0.00317
"help COVID-19",196, 0.00317
"live with COVID-19",195, 0.00315
"include coronavirus",194, 0.00314
"care for COVID-19",194, 0.00314
"believe the coronavirus",194, 0.00314
"survive the COVID-19",191, 0.00309
"arise from COVID-19",189, 0.00306
"face COVID-19",187, 0.00302
"stop the coronavirus",186, 0.00301
"believe that COVID-19",184, 0.00298
"use coronavirus",183, 0.00296
"test coronavirus",183, 0.00296
"designate COVID-19",183, 0.00296
"recover coronavirus",182, 0.00294
"take the COVID-19",181, 0.00293
"link to coronavirus",181, 0.00293
"implement COVID-19",181, 0.00293
"avoid COVID-19",181, 0.00293
"show coronavirus",180, 0.00291
"ease COVID-19",180, 0.00291
"show that COVID-19",178, 0.00288
"monitor the COVID-19",178, 0.00288
"post COVID-19",177, 0.00286
"concern COVID-19",177, 0.00286
"surge COVID-19",176, 0.00285
"screen for COVID-19",176, 0.00285
"die with coronavirus",176, 0.00285
"come as coronavirus",176, 0.00285
"discuss the coronavirus",174, 0.00281
"know that COVID-19",173, 0.00280
"know coronavirus",173, 0.00280
"succumb to coronavirus",172, 0.00278
"stop coronavirus",172, 0.00278
"identify COVID-19",171, 0.00277
"transmit the coronavirus",168, 0.00272
"concern about COVID-19",168, 0.00272
"cite coronavirus",168, 0.00272
"know as COVID-19",167, 0.00270
"suggest that COVID-19",166, 0.00268
"reduce coronavirus",166, 0.00268
"flout COVID-19",163, 0.00264
"undergo coronavirus",162, 0.00262
"call the coronavirus",162, 0.00262
"breach coronavirus",162, 0.00262
"blame the coronavirus",162, 0.00262
"be no coronavirus",161, 0.00260
"protect against coronavirus",160, 0.00259
"kill the coronavirus",160, 0.00259
"face the COVID-19",160, 0.00259
"defeat the coronavirus",159, 0.00257
"cover COVID-19",158, 0.00256
"control coronavirus",158, 0.00256
"transmit coronavirus",157, 0.00254
"overcome the COVID-19",157, 0.00254
"handle coronavirus",157, 0.00254
"expand COVID-19",154, 0.00249
"be before COVID-19",154, 0.00249
"suffer from coronavirus",153, 0.00247
"overcome COVID-19",153, 0.00247
"beat coronavirus",153, 0.00247
"base on COVID-19",153, 0.00247
"adapt to COVID-19",153, 0.00247
"overcome the coronavirus",152, 0.00246
"say that coronavirus",151, 0.00244
"have have coronavirus",150, 0.00243
"confirm [number] COVID-19",150, 0.00243
"conduct coronavirus",148, 0.00239
"spike coronavirus",147, 0.00238
"know about COVID-19",147, 0.00238
"update COVID-19",146, 0.00236
"involve COVID-19",146, 0.00236
"hospitalize with coronavirus",146, 0.00236
"come as COVID-19",144, 0.00233
"think the coronavirus",143, 0.00231
"evolve COVID-19",143, 0.00231
"beat the coronavirus",142, 0.00230
"do with COVID-19",141, 0.00228
"trigger by COVID-19",140, 0.00226
"break coronavirus",140, 0.00226
"tie to COVID-19",139, 0.00225
"survive coronavirus",138, 0.00223
"steal coronavirus",138, 0.00223
"flatten the COVID-19",138, 0.00223
"lose to COVID-19",137, 0.00222
"use for COVID-19",136, 0.00220
"make coronavirus",135, 0.00218
"cause the COVID-19",135, 0.00218
"target COVID-19",134, 0.00217
"expect COVID-19",134, 0.00217
"come COVID-19",134, 0.00217
"die with COVID-19",133, 0.00215
"work on COVID-19",132, 0.00213
"exacerbate by COVID-19",132, 0.00213
"enforce coronavirus",132, 0.00213
"consider COVID-19",132, 0.00213
"spread of COVID-19",131, 0.00212
"face the coronavirus",130, 0.00210
"drive by COVID-19",130, 0.00210
"curb coronavirus",130, 0.00210
"offer free COVID-19",129, 0.00209
"navigate the coronavirus",129, 0.00209
"be not COVID-19",129, 0.00209
"create a COVID-19",128, 0.00207
"let COVID-19",127, 0.00205
"carry the coronavirus",127, 0.00205
"avoid coronavirus",127, 0.00205
"worry about COVID-19",126, 0.00204
"infect by coronavirus",126, 0.00204
"associate with coronavirus",126, 0.00204
"eliminate COVID-19",125, 0.00202
"track coronavirus",124, 0.00201
"help fight COVID-19",124, 0.00201
"navigate COVID-19",123, 0.00199
"curb the COVID-19",123, 0.00199
"come to coronavirus",123, 0.00199
"kill coronavirus",122, 0.00197
"launch COVID-19",121, 0.00196
"break COVID-19",121, 0.00196
"see the coronavirus",119, 0.00192
"release COVID-19",119, 0.00192
"observe COVID-19",119, 0.00192
"have test COVID-19",119, 0.00192
"consider the COVID-19",119, 0.00192
"confirm positive COVID-19",119, 0.00192
"undergo a COVID-19",118, 0.00191
"bring coronavirus",118, 0.00191
"respond to coronavirus",117, 0.00189
"find coronavirus",117, 0.00189
"exhibit COVID-19",117, 0.00189
"disrupt by COVID-19",117, 0.00189
"come the coronavirus",117, 0.00189
"receive coronavirus",116, 0.00188
"get the COVID-19",116, 0.00188
"discuss the COVID-19",116, 0.00188
"kill COVID-19",115, 0.00186
"help with COVID-19",115, 0.00186
"have no COVID-19",115, 0.00186
"acquire COVID-19",115, 0.00186
"refer to COVID-19",114, 0.00184
"have any COVID-19",114, 0.00184
"await COVID-19",114, 0.00184
"stem from COVID-19",113, 0.00183
"ensure COVID-19",113, 0.00183
"suggest COVID-19",112, 0.00181
"pertain to COVID-19",111, 0.00180
"limit COVID-19",111, 0.00180
"impose by COVID-19",111, 0.00180
"cure coronavirus",111, 0.00180
"talk about COVID-19",110, 0.00178
"meet COVID-19",110, 0.00178
"grapple with COVID-19",110, 0.00178
"conduct [number] COVID-19",110, 0.00178
"understand COVID-19",109, 0.00176
"support the COVID-19",109, 0.00176
"provide coronavirus",109, 0.00176
"hospitalize coronavirus",109, 0.00176
"experience coronavirus",109, 0.00176
"cite the COVID-19",109, 0.00176
"lift coronavirus",108, 0.00175
"allow COVID-19",108, 0.00175
"prepare for COVID-19",107, 0.00173
"pass COVID-19",107, 0.00173
"carry COVID-19",107, 0.00173
"call coronavirus",107, 0.00173
"be battle COVID-19",107, 0.00173
"call the COVID-19",106, 0.00171
"violate coronavirus",105, 0.00170
"compare COVID-19",105, 0.00170
"slow the coronavirus",104, 0.00168
"be test COVID-19",104, 0.00168
"be experience COVID-19",104, 0.00168
"violate the COVID-19",103, 0.00167
"receive a COVID-19",103, 0.00167
"slow COVID-19",102, 0.00165
"involve in COVID-19",102, 0.00165
"defeat coronavirus",102, 0.00165
"create COVID-19",102, 0.00165
"happen with COVID-19",101, 0.00163
"emerge from COVID-19",101, 0.00163
"declare the coronavirus",101, 0.00163
"admit COVID-19",101, 0.00163
"rage COVID-19",100, 0.00162
"give coronavirus",100, 0.00162
"flatten the coronavirus",100, 0.00162
"confirm with COVID-19",99, 0.00160
"bring by COVID-19",99, 0.00160
"announce COVID-19",98, 0.00158
"accept COVID-19",98, 0.00158
"pose by coronavirus",97, 0.00157
"dedicate to COVID-19",97, 0.00157
"cause the coronavirus",97, 0.00157
"soar coronavirus",96, 0.00155
"find that COVID-19",96, 0.00155
"improve COVID-19",95, 0.00154
"extend COVID-19",95, 0.00154
"steal COVID-19",94, 0.00152
"remain COVID-19",94, 0.00152
"import COVID-19",94, 0.00152
"suspect coronavirus",93, 0.00150
"protect from COVID-19",92, 0.00149
"cause coronavirus",92, 0.00149
"observe the COVID-19",91, 0.00147
"mitigate the COVID-19",91, 0.00147
"cope with coronavirus",91, 0.00147
"warn that COVID-19",90, 0.00146
"launch a COVID-19",90, 0.00146
"confront COVID-19",90, 0.00146
"comply with coronavirus",90, 0.00146
"treat for coronavirus",89, 0.00144
"monitor the coronavirus",89, 0.00144
"spike COVID-19",88, 0.00142
"review the COVID-19",88, 0.00142
"provide free COVID-19",88, 0.00142
"ignore COVID-19",88, 0.00142
"hospitalise with COVID-19",88, 0.00142
"have see COVID-19",88, 0.00142
"become COVID-19",88, 0.00142
"approve COVID-19",88, 0.00142
"add COVID-19",88, 0.00142
"show the coronavirus",87, 0.00141
"require COVID-19",87, 0.00141
"delay by COVID-19",87, 0.00141
"carry out COVID-19",87, 0.00141
"see the COVID-19",86, 0.00139
"ravage COVID-19",86, 0.00139
"be use COVID-19",86, 0.00139
"treat [number] COVID-19",85, 0.00137
"ensure that COVID-19",85, 0.00137
"detect the coronavirus",85, 0.00137
"spread the COVID-19",84, 0.00136
"escalate coronavirus",84, 0.00136
"confirm [number] coronavirus",84, 0.00136
"unfold of COVID-19",83, 0.00134
"flout coronavirus",83, 0.00134
"downplay the coronavirus",83, 0.00134
"send COVID-19",82, 0.00133
"process COVID-19",82, 0.00133
"claim the coronavirus",82, 0.00133
"let the coronavirus",81, 0.00131
"expand coronavirus",81, 0.00131
"depend on COVID-19",81, 0.00131
"concern the coronavirus",81, 0.00131
"suppress COVID-19",80, 0.00129
"perform COVID-19",80, 0.00129
"help coronavirus",80, 0.00129
"follow a COVID-19",80, 0.00129
"extend coronavirus",80, 0.00129
"describe the coronavirus",80, 0.00129
"accommodate COVID-19",80, 0.00129
"discuss coronavirus",79, 0.00128
"confront the coronavirus",79, 0.00128
"believe the COVID-19",79, 0.00128
"occupy by COVID-19",78, 0.00126
"have be COVID-19",78, 0.00126
"declare coronavirus",78, 0.00126
"counter the coronavirus",78, 0.00126
"administer COVID-19",78, 0.00126
"seek COVID-19",77, 0.00125
"relate : COVID-19",77, 0.00125
"offer coronavirus",77, 0.00125
"lift COVID-19",77, 0.00125
"eradicate COVID-19",77, 0.00125
"counter COVID-19",77, 0.00125
"blame COVID-19",77, 0.00125
"become a COVID-19",77, 0.00125
"be find COVID-19",77, 0.00125
"work with COVID-19",76, 0.00123
"wait for COVID-19",76, 0.00123
"stem the coronavirus",76, 0.00123
"live with coronavirus",76, 0.00123
"focus on coronavirus",76, 0.00123
"spread of coronavirus",75, 0.00121
"register [number] COVID-19",75, 0.00121
"conduct [number] coronavirus",75, 0.00121
"be fight COVID-19",75, 0.00121
"add [number] COVID-19",75, 0.00121
"abide by COVID-19",75, 0.00121
"occasion by COVID-19",74, 0.00120
"learn about COVID-19",74, 0.00120
"indicate that COVID-19",74, 0.00120
"describe COVID-19",74, 0.00120
"clear of COVID-19",74, 0.00120
"be for COVID-19",74, 0.00120
"avoid the coronavirus",74, 0.00120
"surround coronavirus",73, 0.00118
"struggle with COVID-19",73, 0.00118
"relax coronavirus",73, 0.00118
"eliminate coronavirus",73, 0.00118
"carry coronavirus",73, 0.00118
"undergo a coronavirus",72, 0.00116
"suggest the coronavirus",72, 0.00116
"soar COVID-19",72, 0.00116
"reopen after coronavirus",72, 0.00116
"pass a coronavirus",72, 0.00116
"manage coronavirus",72, 0.00116
"kill by COVID-19",72, 0.00116
"find a COVID-19",72, 0.00116
"consider the coronavirus",72, 0.00116
"work on coronavirus",71, 0.00115
"record COVID-19",71, 0.00115
"lead COVID-19",71, 0.00115
"launch the COVID-19",71, 0.00115
"escalate COVID-19",71, 0.00115
"display COVID-19",71, 0.00115
"add that COVID-19",71, 0.00115
"surpass [number] coronavirus",70, 0.00113
"sign a COVID-19",70, 0.00113
"send coronavirus",70, 0.00113
"reopen after COVID-19",70, 0.00113
"produce COVID-19",70, 0.00113
"prevent the COVID-19",70, 0.00113
"help fight coronavirus",70, 0.00113
"help combat COVID-19",70, 0.00113
"exploit the coronavirus",70, 0.00113
"surpass [number] COVID-19",69, 0.00112
"state that COVID-19",69, 0.00112
"overwhelm by COVID-19",69, 0.00112
"import coronavirus",69, 0.00112
"identify coronavirus",69, 0.00112
"expect the coronavirus",69, 0.00112
"address coronavirus",69, 0.00112
"think coronavirus",68, 0.00110
"mention COVID-19",68, 0.00110
"make the coronavirus",68, 0.00110
"learn from COVID-19",68, 0.00110
"deliver COVID-19",68, 0.00110
"accelerate COVID-19",68, 0.00110
"minimize COVID-19",67, 0.00108
"make the COVID-19",67, 0.00108
"introduce COVID-19",67, 0.00108
"hospitalize for coronavirus",67, 0.00108
"face coronavirus",67, 0.00108
"exclude COVID-19",67, 0.00108
"affect COVID-19",67, 0.00108
"pass coronavirus",66, 0.00107
"owe to coronavirus",66, 0.00107
"fear COVID-19",66, 0.00107
"warn coronavirus",65, 0.00105
"look at COVID-19",65, 0.00105
"hospitalise with coronavirus",65, 0.00105
"hear of COVID-19",65, 0.00105
"emerge COVID-19",65, 0.00105
"connect to COVID-19",65, 0.00105
"claim COVID-19",65, 0.00105
"change COVID-19",65, 0.00105
"be treat COVID-19",65, 0.00105
"warn the coronavirus",64, 0.00104
"lead coronavirus",64, 0.00104
"include a COVID-19",64, 0.00104
"have more COVID-19",64, 0.00104
"cure of COVID-19",64, 0.00104
"claim that COVID-19",64, 0.00104
"bring the COVID-19",64, 0.00104
"be that coronavirus",64, 0.00104
"want COVID-19",63, 0.00102
"study COVID-19",63, 0.00102
"share COVID-19",63, 0.00102
"predict COVID-19",63, 0.00102
"know the coronavirus",63, 0.00102
"keep the COVID-19",63, 0.00102
"help prevent COVID-19",63, 0.00102
"weather COVID-19",62, 0.00100
"tighten coronavirus",62, 0.00100
"think the COVID-19",62, 0.00100
"show that coronavirus",62, 0.00100
"pay for COVID-19",62, 0.00100
"overwhelm with COVID-19",62, 0.00100
"monitor coronavirus",62, 0.00100
"mean COVID-19",62, 0.00100
"involve coronavirus",62, 0.00100
"have report COVID-19",62, 0.00100
"fight against coronavirus",62, 0.00100
"establish a COVID-19",62, 0.00100
"blame coronavirus",62, 0.00100
"be on COVID-19",62, 0.00100
"allow the coronavirus",62, 0.00100
"acknowledge that COVID-19",62, 0.00100
"review COVID-19",61, 0.00099
"ramp up COVID-19",61, 0.00099
"hurt by COVID-19",61, 0.00099
"give that COVID-19",61, 0.00099
"exploit the COVID-19",61, 0.00099
"eliminate the coronavirus",61, 0.00099
"believe coronavirus",61, 0.00099
"accelerate by COVID-19",61, 0.00099
"have no coronavirus",60, 0.00097
"follow a coronavirus",60, 0.00097
"find a coronavirus",60, 0.00097
"do coronavirus",60, 0.00097
"worry about coronavirus",59, 0.00095
"target coronavirus",59, 0.00095
"spend the coronavirus",59, 0.00095
"maintain COVID-19",59, 0.00095
"lead to COVID-19",59, 0.00095
"follow all COVID-19",59, 0.00095
"ease the coronavirus",59, 0.00095
"declare the COVID-19",59, 0.00095
"concern the COVID-19",59, 0.00095
"collect COVID-19",59, 0.00095
"understand how COVID-19",58, 0.00094
"spend on COVID-19",58, 0.00094
"report that COVID-19",58, 0.00094
"reopen as coronavirus",58, 0.00094
"put COVID-19",58, 0.00094
"monitor for COVID-19",58, 0.00094
"ignore coronavirus",58, 0.00094
"become a coronavirus",58, 0.00094
"adjust to COVID-19",58, 0.00094
"work in COVID-19",57, 0.00092
"update its COVID-19",57, 0.00092
"understand that COVID-19",57, 0.00092
"track the coronavirus",57, 0.00092
"talk about coronavirus",57, 0.00092
"relax COVID-19",57, 0.00092
"offer free coronavirus",57, 0.00092
"indicate COVID-19",57, 0.00092
"emerge from coronavirus",57, 0.00092
"complete a COVID-19",57, 0.00092
"be confirm COVID-19",57, 0.00092
"set up COVID-19",56, 0.00091
"register [number] coronavirus",56, 0.00091
"ravage coronavirus",56, 0.00091
"ravage by COVID-19",56, 0.00091
"propose COVID-19",56, 0.00091
"hospitalise COVID-19",56, 0.00091
"go for COVID-19",56, 0.00091
"emerge coronavirus",56, 0.00091
"display coronavirus",56, 0.00091
"devastate by COVID-19",56, 0.00091
"warn COVID-19",55, 0.00089
"title "" COVID-19",55, 0.00089
"take for COVID-19",55, 0.00089
"support coronavirus",55, 0.00089
"screen for coronavirus",55, 0.00089
"report positive COVID-19",55, 0.00089
"meet the COVID-19",55, 0.00089
"list COVID-19",55, 0.00089
"find the coronavirus",55, 0.00089
"distribute COVID-19",55, 0.00089
"delay by coronavirus",55, 0.00089
"declare a COVID-19",55, 0.00089
"cover coronavirus",55, 0.00089
"adhere to coronavirus",55, 0.00089
"pass the coronavirus",54, 0.00087
"know about coronavirus",54, 0.00087
"experience a COVID-19",54, 0.00087
"end the coronavirus",54, 0.00087
"diagnose coronavirus",54, 0.00087
"claim coronavirus",54, 0.00087
"become coronavirus",54, 0.00087
"undergo the COVID-19",53, 0.00086
"suggest coronavirus",53, 0.00086
"pass a COVID-19",53, 0.00086
"mitigate the coronavirus",53, 0.00086
"limit coronavirus",53, 0.00086
"end the COVID-19",53, 0.00086
"do the coronavirus",53, 0.00086
"develop severe COVID-19",53, 0.00086
"continue COVID-19",53, 0.00086
"be take COVID-19",53, 0.00086
"transport COVID-19",52, 0.00084
"say , COVID-19",52, 0.00084
"pay for coronavirus",52, 0.00084
"involve in coronavirus",52, 0.00084
"cure the coronavirus",52, 0.00084
"care for coronavirus",52, 0.00084
"begin COVID-19",52, 0.00084
"be follow COVID-19",52, 0.00084
"warn that coronavirus",51, 0.00082
"treat the COVID-19",51, 0.00082
"report a COVID-19",51, 0.00082
"reopen from coronavirus",51, 0.00082
"linger coronavirus",51, 0.00082
"help treat COVID-19",51, 0.00082
"go through COVID-19",51, 0.00082
"come with COVID-19",51, 0.00082
"pend COVID-19",50, 0.00081
"overcome coronavirus",50, 0.00081
"mishandle the coronavirus",50, 0.00081
"issue COVID-19",50, 0.00081
"face with COVID-19",50, 0.00081
"create by coronavirus",50, 0.00081
"catch the COVID-19",50, 0.00081
"be before coronavirus",50, 0.00081
"attribute to coronavirus",50, 0.00081
"trace COVID-19",49, 0.00079
"skyrocket coronavirus",49, 0.00079
"see [number] COVID-19",49, 0.00079
"ramp up coronavirus",49, 0.00079
"propose coronavirus",49, 0.00079
"produce a COVID-19",49, 0.00079
"present COVID-19",49, 0.00079
"need a COVID-19",49, 0.00079
"need COVID-19",49, 0.00079
"mount coronavirus",49, 0.00079
"mention the coronavirus",49, 0.00079
"mandate COVID-19",49, 0.00079
"know the COVID-19",49, 0.00079
"hold COVID-19",49, 0.00079
"have catch COVID-19",49, 0.00079
"establish COVID-19",49, 0.00079
"enter the COVID-19",49, 0.00079
"end COVID-19",49, 0.00079
"create a coronavirus",49, 0.00079
"benefit from COVID-19",49, 0.00079
"think that COVID-19",48, 0.00078
"see more COVID-19",48, 0.00078
"say a COVID-19",48, 0.00078
"produce coronavirus",48, 0.00078
"linger COVID-19",48, 0.00078
"have get COVID-19",48, 0.00078
"extend the COVID-19",48, 0.00078
"eradicate the coronavirus",48, 0.00078
"contact COVID-19",48, 0.00078
"assist with COVID-19",48, 0.00078
"visit the COVID-19",47, 0.00076
"use in COVID-19",47, 0.00076
"slow coronavirus",47, 0.00076
"see how COVID-19",47, 0.00076
"provide a COVID-19",47, 0.00076
"predate the coronavirus",47, 0.00076
"engage in COVID-19",47, 0.00076
"defeat the COVID-19",47, 0.00076
"cover the coronavirus",47, 0.00076
"boost COVID-19",47, 0.00076
"announce [number] COVID-19",47, 0.00076
"admit coronavirus",47, 0.00076
"stop the COVID-19",46, 0.00074
"prompt by COVID-19",46, 0.00074
"need for COVID-19",46, 0.00074
"kill by coronavirus",46, 0.00074
"interrupt by COVID-19",46, 0.00074
"have see coronavirus",46, 0.00074
"confront the COVID-19",46, 0.00074
"concern coronavirus",46, 0.00074
"come from COVID-19",46, 0.00074
"avoid spread COVID-19",46, 0.00074
"wear coronavirus",45, 0.00073
"warn of COVID-19",45, 0.00073
"sign COVID-19",45, 0.00073
"review the coronavirus",45, 0.00073
"report new COVID-19",45, 0.00073
"pass another coronavirus",45, 0.00073
"isolate COVID-19",45, 0.00073
"ignore the coronavirus",45, 0.00073
"fear coronavirus",45, 0.00073
"estimate that COVID-19",45, 0.00073
"do before COVID-19",45, 0.00073
"continue coronavirus",45, 0.00073
"compare the coronavirus",45, 0.00073
"believe that coronavirus",45, 0.00073
"be handle COVID-19",45, 0.00073
"suggest that coronavirus",44, 0.00071
