"corpus","preloaded/eng_jsi_newsfeed_lastmonth"
"subcorpus",""
"concordance size","212330"
"become a COVID-19",46, 0.04193
"surpass [number] coronavirus",45, 0.04102
"suppress COVID-19",45, 0.04102
"ravage by COVID-19",45, 0.04102
"pass a COVID-19",45, 0.04102
"meet the COVID-19",45, 0.04102
"find a COVID-19",45, 0.04102
"fear COVID-19",45, 0.04102
"face with COVID-19",45, 0.04102
"devastate by COVID-19",45, 0.04102
"compare the coronavirus",45, 0.04102
"admit COVID-19",45, 0.04102
"accelerate COVID-19",45, 0.04102
"say [number] COVID-19",44, 0.04011
"introduce COVID-19",44, 0.04011
"fight off COVID-19",44, 0.04011
"emerge coronavirus",44, 0.04011
"do before COVID-19",44, 0.04011
"counter COVID-19",44, 0.04011
"assess COVID-19",44, 0.04011
"understand that COVID-19",43, 0.03920
"reveal COVID-19",43, 0.03920
"loosen COVID-19",43, 0.03920
"improve coronavirus",43, 0.03920
"display COVID-19",43, 0.03920
"contribute to COVID-19",43, 0.03920
"compound by COVID-19",43, 0.03920
"clear of COVID-19",43, 0.03920
"become coronavirus",43, 0.03920
"be fight COVID-19",43, 0.03920
"work with COVID-19",42, 0.03829
"weather COVID-19",42, 0.03829
"stem the coronavirus",42, 0.03829
"send coronavirus",42, 0.03829
"say , COVID-19",42, 0.03829
"publish COVID-19",42, 0.03829
"prevent the COVID-19",42, 0.03829
"owe to coronavirus",42, 0.03829
"monitor for COVID-19",42, 0.03829
"fight against coronavirus",42, 0.03829
"extend the COVID-19",42, 0.03829
"extend coronavirus",42, 0.03829
"eradicate COVID-19",42, 0.03829
"emerge COVID-19",42, 0.03829
"do the coronavirus",42, 0.03829
"confront the COVID-19",42, 0.03829
"concern about coronavirus",42, 0.03829
"boost COVID-19",42, 0.03829
"be for COVID-19",42, 0.03829
"approve coronavirus",42, 0.03829
"show that coronavirus",41, 0.03738
"participate in COVID-19",41, 0.03738
"overcome coronavirus",41, 0.03738
"make a COVID-19",41, 0.03738
"investigate COVID-19",41, 0.03738
"indicate COVID-19",41, 0.03738
"hurt by COVID-19",41, 0.03738
"help prevent COVID-19",41, 0.03738
"find a coronavirus",41, 0.03738
"discuss coronavirus",41, 0.03738
"begin COVID-19",41, 0.03738
"apply for COVID-19",41, 0.03738
"slow the coronavirus",40, 0.03646
"see how COVID-19",40, 0.03646
"respect COVID-19",40, 0.03646
"reel from COVID-19",40, 0.03646
"ramp up COVID-19",40, 0.03646
"occupy by COVID-19",40, 0.03646
"monitor the coronavirus",40, 0.03646
"help combat COVID-19",40, 0.03646
"get through COVID-19",40, 0.03646
"do coronavirus",40, 0.03646
"create a coronavirus",40, 0.03646
"work on coronavirus",39, 0.03555
"report positive coronavirus",39, 0.03555
"register [number] coronavirus",39, 0.03555
"record COVID-19",39, 0.03555
"read more coronavirus",39, 0.03555
"pend COVID-19",39, 0.03555
"mishandle the coronavirus",39, 0.03555
"make the COVID-19",39, 0.03555
"implement coronavirus",39, 0.03555
"identify coronavirus",39, 0.03555
"have confirm COVID-19",39, 0.03555
"have catch COVID-19",39, 0.03555
"cure of COVID-19",39, 0.03555
"conduct [number] coronavirus",39, 0.03555
"break the coronavirus",39, 0.03555
"blame coronavirus",39, 0.03555
"announce new COVID-19",39, 0.03555
"use federal coronavirus",38, 0.03464
"produce a coronavirus",38, 0.03464
"need a COVID-19",38, 0.03464
"import coronavirus",38, 0.03464
"have get COVID-19",38, 0.03464
"exploit the COVID-19",38, 0.03464
"experience any COVID-19",38, 0.03464
"expect the COVID-19",38, 0.03464
"do with coronavirus",38, 0.03464
"come with COVID-19",38, 0.03464
"claim that coronavirus",38, 0.03464
"unfold of COVID-19",37, 0.03373
"tighten COVID-19",37, 0.03373
"send COVID-19",37, 0.03373
"see [number] coronavirus",37, 0.03373
"make a coronavirus",37, 0.03373
"lower COVID-19",37, 0.03373
"have positive COVID-19",37, 0.03373
"experience a COVID-19",37, 0.03373
"escalate coronavirus",37, 0.03373
"defy coronavirus",37, 0.03373
"declare coronavirus",37, 0.03373
"cover the coronavirus",37, 0.03373
"counter the COVID-19",37, 0.03373
"carry out COVID-19",37, 0.03373
"administer [number] COVID-19",37, 0.03373
"think the COVID-19",36, 0.03282
"report a coronavirus",36, 0.03282
"reopen after COVID-19",36, 0.03282
"mention the coronavirus",36, 0.03282
"inactivate COVID-19",36, 0.03282
"impose coronavirus",36, 0.03282
"help coronavirus",36, 0.03282
"have no coronavirus",36, 0.03282
"have handle COVID-19",36, 0.03282
"explain that COVID-19",36, 0.03282
"explain COVID-19",36, 0.03282
"do the COVID-19",36, 0.03282
"diagnose coronavirus",36, 0.03282
"combine with COVID-19",36, 0.03282
"book a COVID-19",36, 0.03282
"warn the coronavirus",35, 0.03191
"spike COVID-19",35, 0.03191
"receive the COVID-19",35, 0.03191
"let the COVID-19",35, 0.03191
"launch the COVID-19",35, 0.03191
"have report coronavirus",35, 0.03191
"have more COVID-19",35, 0.03191
"follow positive COVID-19",35, 0.03191
"flatten the coronavirus",35, 0.03191
"defeat the COVID-19",35, 0.03191
"contain a coronavirus",35, 0.03191
"confirm positive coronavirus",35, 0.03191
"change coronavirus",35, 0.03191
"announce a COVID-19",35, 0.03191
"monitor coronavirus",34, 0.03099
"limit coronavirus",34, 0.03099
"face coronavirus",34, 0.03099
"establish COVID-19",34, 0.03099
"decrease COVID-19",34, 0.03099
"clear COVID-19",34, 0.03099
"check for COVID-19",34, 0.03099
"be treat COVID-19",34, 0.03099
"be contract COVID-19",34, 0.03099
"argue that COVID-19",34, 0.03099
"vaccinate for COVID-19",33, 0.03008
"trace coronavirus",33, 0.03008
"take on COVID-19",33, 0.03008
"spread of coronavirus",33, 0.03008
"run COVID-19",33, 0.03008
"offer free coronavirus",33, 0.03008
"note COVID-19",33, 0.03008
"name COVID-19",33, 0.03008
"mean that COVID-19",33, 0.03008
"introduce new coronavirus",33, 0.03008
"induce by COVID-19",33, 0.03008
"increase in COVID-19",33, 0.03008
"exploit the coronavirus",33, 0.03008
"describe the COVID-19",33, 0.03008
"deliver coronavirus",33, 0.03008
"continue coronavirus",33, 0.03008
"be report COVID-19",33, 0.03008
"be offer COVID-19",33, 0.03008
"assist with COVID-19",33, 0.03008
"transport COVID-19",32, 0.02917
"trace COVID-19",32, 0.02917
"spur by COVID-19",32, 0.02917
"see more COVID-19",32, 0.02917
"propose coronavirus",32, 0.02917
"propose COVID-19",32, 0.02917
"observe all COVID-19",32, 0.02917
